"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Fairly active","17.7","%","2452","435","0.206","0.152","1750"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Physically active","51.8","%","2452","1271","0.552","0.485","1750"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Physically inactive","30.4","%","2452","745","0.335","0.274","1750"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Fairly active","11.3","%","2152","243","0.142","0.089","1149"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Physically active","62.2","%","2152","1337","0.664","0.577","1149"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Physically inactive","26.6","%","2152","572","0.307","0.228","1149"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Fairly active","13.1","%","1429","188","0.163","0.105","1057"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Fairly active","?","%","?","?","?","?","152"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Fairly active","9.4","%","435","41","0.141","0.062","272"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Fairly active","16.4","%","296","49","0.244","0.107","268"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Fairly active","19.5","%","177","35","0.304","0.119","176"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Fairly active","?","%","?","?","?","?","117"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Fairly active","?","%","?","?","?","?","54"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Fairly active","?","%","?","?","?","?","14"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Fairly active","17.1","%","524","90","0.226","0.127","578"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Fairly active","?","%","?","?","?","?","188"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Fairly active","?","%","?","?","?","?","77"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Fairly active","?","%","?","?","?","?","24"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Fairly active","?","%","?","?","?","?","172"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Physically active","56.1","%","1429","801","0.604","0.516","1057"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Physically active","59.5","%","354","210","0.69","0.492","152"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Physically active","58.5","%","435","254","0.667","0.497","272"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Physically active","53.5","%","296","158","0.621","0.447","268"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Physically active","49.4","%","177","88","0.595","0.395","176"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Physically active","46.3","%","96","45","0.612","0.321","117"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Physically active","?","%","?","?","?","?","54"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Physically active","?","%","?","?","?","?","14"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Physically active","61.7","%","524","324","0.671","0.56","578"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Physically active","49.9","%","265","132","0.592","0.406","188"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Physically active","41.9","%","142","59","0.567","0.283","77"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Physically active","?","%","?","?","?","?","24"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Physically active","59.6","%","412","245","0.693","0.492","172"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Physically inactive","30.8","%","1429","440","0.352","0.267","1057"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Physically inactive","24.4","%","354","86","0.345","0.165","152"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Physically inactive","32.1","%","435","140","0.413","0.241","272"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Physically inactive","30.1","%","296","89","0.389","0.225","268"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Physically inactive","31","%","177","55","0.411","0.224","176"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Physically inactive","49","%","96","47","0.637","0.345","117"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Physically inactive","?","%","?","?","?","?","54"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Physically inactive","?","%","?","?","?","?","14"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Physically inactive","21.2","%","524","111","0.259","0.171","578"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Physically inactive","39.5","%","265","105","0.491","0.308","188"
